Molecule ChEMBL ID,Activity Type,Value,Units,Target ChEMBL ID,Gene Symbol,Gene Description,SMILES
CHEMBL344801,IC50,10.0,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)NCCC1Cc2ccc(NC(=O)c3cccc(C)c3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL142272,IC50,1.6,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)CCC(NS(=O)(=O)c2cccs2)CC3)c1-c1ccc(C(F)(F)F)cc1
CHEMBL423915,IC50,6.4,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)N[C@@H]1Cc2ccc(NC(=O)c3cccc(C)c3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL357886,IC50,1.3,nM,CHEMBL4549,APOE,Apolipoprotein E,O=C(Nc1ccc2c(c1)CC(NS(=O)(=O)c1ccccc1)C2)c1ccccc1-c1ccc(C(F)(F)F)cc1
CHEMBL142763,IC50,8.8,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)C[C@@H](NS(C)(=O)=O)C3)c1-c1ccc(C(F)(F)F)cc1
CHEMBL359428,IC50,1.8,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)C[C@H](NS(C)(=O)=O)C3)c1-c1ccc(C(F)(F)F)cc1
CHEMBL336873,IC50,0.9,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)C[C@H](NS(=O)(=O)c2cccs2)C3)c1-c1ccc(C(F)(F)F)cc1
CHEMBL344849,IC50,2.6,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cc(C)c(-c2ccc(C(F)(F)F)cc2)c(C(=O)Nc2ccc3c(c2)C[C@@H](NS(=O)(=O)c2cccs2)C3)c1
CHEMBL434703,IC50,42.0,nM,CHEMBL4549,APOE,Apolipoprotein E,O=C(Nc1ccc2c(c1)C[C@@H](NS(=O)(=O)c1ccccc1)C2)c1ccccc1-c1ccc(C(F)(F)F)cc1
CHEMBL143514,IC50,2.2,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)N[C@H]1Cc2ccc(NC(=O)c3cc(C)ccc3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL358141,IC50,2.5,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)N[C@@H]1Cc2ccc(NC(=O)c3cc(C)cc(C)c3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL356126,IC50,2.0,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)NC1CCc2ccc(NC(=O)c3cccc(C)c3-c3ccc(Cl)cc3)cc2CC1
CHEMBL140754,IC50,2.4,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)CC(NS(=O)(=O)c2ccccc2)C3)c1-c1ccc(Cl)cc1
CHEMBL141036,IC50,5.5,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)CC(NS(=O)(=O)c2ccccc2)C3)c1-c1ccc(C#N)cc1
CHEMBL142616,IC50,16.0,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)CC(CNS(C)(=O)=O)C3)c1-c1ccc(Cl)cc1
CHEMBL423194,IC50,3.0,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)CC(NS(=O)(=O)c2cccs2)C3)c1-c1ccc(Cl)cc1
CHEMBL143684,IC50,270.0,nM,CHEMBL4549,APOE,Apolipoprotein E,O=C(NC1Cc2ccc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)cc2C1)c1ccccc1
CHEMBL142733,IC50,2.2,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)NCC1Cc2ccc(NC(=O)c3cc(C)cc(C)c3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL412375,IC50,6.6,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)CC(NS(C)(=O)=O)C3)c1-c1ccc(Cl)cc1
CHEMBL141014,IC50,5.0,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)CCC(NS(C)(=O)=O)CC3)c1-c1ccc(Cl)cc1
CHEMBL142972,IC50,1.7,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)C[C@@H](NCc2ccccn2)C3)c1-c1ccc(C(F)(F)F)cc1
CHEMBL358538,IC50,8.7,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)NCC1Cc2ccc(NC(=O)c3cccc(C)c3-c3ccc(Cl)cc3)cc2C1
CHEMBL422295,IC50,1.8,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)N1CCN([C@H]2Cc3ccc(NC(=O)c4cccc(C)c4-c4ccc(C(F)(F)F)cc4)cc3C2)CC1
CHEMBL143610,IC50,120.0,nM,CHEMBL4549,APOE,Apolipoprotein E,CC(=O)NC1Cc2ccc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL143535,IC50,12.0,nM,CHEMBL4549,APOE,Apolipoprotein E,O=C(Nc1ccc2c(c1)CC(NS(=O)(=O)c1ccccc1)C2)c1ccccc1-c1ccccc1
CHEMBL359248,IC50,6.5,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)CC(CNS(C)(=O)=O)C3)c1-c1ccc(C(F)(F)F)cc1
CHEMBL344439,IC50,2.5,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1ccc(-c2c(C)cccc2C(=O)Nc2ccc3c(c2)CC(NS(=O)(=O)c2ccccc2)C3)cc1
CHEMBL341974,IC50,2.4,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)NC1CCc2ccc(NC(=O)c3cc(C)cc(C)c3-c3ccc(C(F)(F)F)cc3)cc2CC1
CHEMBL139992,IC50,1.9,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)N[C@H]1Cc2ccc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL143647,IC50,120.0,nM,CHEMBL4549,APOE,Apolipoprotein E,CN(C)C(=O)NC1Cc2ccc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL343837,IC50,3.4,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)NC1Cc2ccc(NC(=O)c3cc(C)cc(C)c3-c3ccc(Cl)cc3)cc2C1
CHEMBL356937,IC50,7.5,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)N[C@H]1Cc2ccc(NC(=O)c3cc(C(F)(F)F)ccc3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL343874,IC50,2.3,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)CCC(NS(C)(=O)=O)CC3)c1-c1ccc(C(F)(F)F)cc1
CHEMBL142332,IC50,4.1,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)NCC1Cc2ccc(NC(=O)c3cccc(C)c3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL142731,IC50,5.2,nM,CHEMBL4549,APOE,Apolipoprotein E,COC(=O)N[C@@H]1Cc2ccc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)cc2C1
CHEMBL143626,IC50,1.9,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)CC(CNS(=O)(=O)c2cccs2)C3)c1-c1ccc(C(F)(F)F)cc1
CHEMBL344814,IC50,1.2,nM,CHEMBL4549,APOE,Apolipoprotein E,Cc1cccc(C(=O)Nc2ccc3c(c2)CC(NS(=O)(=O)c2ccccc2)C3)c1-c1ccc(F)cc1
