Name,amyloid-beta,tau,inflammation,oxidative-stress
Sulforaphane,0.172,0.207,0.341,0.099
Indole-3-carbinol,0.025,0.02,0.142,0.251
Glucoraphanin,0.073,0.286,0.438,0.01
Curcumin,0.667,0.723,0.709,0.017
Quercetin,0.032,0.0,0.986,0.0
Caffeine,0.0,0.0,0.998,0.001
Capsaicin,0.046,0.148,0.001,0.552
Resveratrol,0.997,0.0,0.999,0.0
Lycopene,0.012,0.001,0.0,0.923
Epigallocatechin gallate,0.903,0.01,0.037,0.0
Menthol,0.701,0.253,0.037,0.189
Allicin,0.018,0.003,0.015,0.683
Thymol,0.001,0.001,1.0,0.002
Berberine,0.17,0.111,0.63,0.155
Luteolin,0.03,0.002,0.985,0.0
Genistein,0.441,0.0,1.0,0.0
Apigenin,0.082,0.004,0.992,0.002
Kaempferol,0.082,0.004,0.992,0.002
Silibinin,0.977,0.289,0.076,0.001
Hesperidin,0.959,0.101,0.511,0.0
Ellagic acid,0.0,0.001,0.003,0.989
Rosmarinic acid,0.774,0.0,0.994,0.0
Myricetin,0.032,0.014,0.678,0.002
Gingerol,0.002,0.0,0.052,0.373
Salicin,0.957,0.376,0.406,0.009
Shikimic acid,0.012,0.008,0.856,0.235
Aloin,0.026,0.022,0.093,0.239
Sanguinarine,0.047,0.012,0.12,0.403
Diosgenin,0.134,0.027,0.018,0.033
Astaxanthin,0.514,0.01,0.086,0.056
Ergothioneine,0.008,0.02,0.93,0.025
Beta-glucans,0.0,0.0,0.001,0.997
Cordycepin,0.661,0.019,0.991,0.005
Phytic acid,0.0,0.0,0.0,1.0
Lignans,0.0,0.0,0.023,0.957
Zeaxanthin,0.021,0.165,0.097,0.144
Chlorogenic acid,0.274,0.039,0.916,0.056
Oleuropein,0.987,0.179,0.926,0.001
Rutin,0.858,0.43,0.557,0.0
Beta-sitosterol,0.053,0.019,0.289,0.139
Squalene,0.013,0.0,0.0,0.904
Punicalagin,0.005,0.0,0.009,0.251
Ursolic acid,0.834,0.012,0.761,0.048
Alpha-pinene,0.0,0.0,0.17,0.764
Beta-caryophyllene,0.013,0.009,0.003,0.963
Theobromine,0.0,0.0,0.998,0.001
Piperine,0.008,0.004,0.994,0.002
Ferulic acid,0.0,0.0,0.841,0.146
Gallic acid,0.023,0.001,0.983,0.002
Chlorophyll,0.115,0.01,0.716,0.058
Taxol (Paclitaxel),0.0,0.0,0.0,0.0
Amygdalin,0.966,0.244,0.668,0.006
Tannic acid,0.097,0.0,0.987,0.001
Damnacanthal,0.043,0.034,0.624,0.109
Honokiol,0.016,0.0,0.361,0.211
Artemisinin,0.67,0.137,0.496,0.013
Withaferin A,0.566,0.126,0.624,0.008
Baicalein,0.032,0.014,0.678,0.002
Ginkgolide B,0.446,0.091,0.297,0.055
Magnolol,0.002,0.0,0.048,0.798
Uridine,0.987,0.265,0.953,0.002
Punicic acid,0.001,0.001,0.001,0.991
Gossypol,0.001,0.036,0.9,0.07
Tetrahydrocannabinol (THC),0.004,0.031,0.042,0.784
Cannabidiol (CBD),0.045,0.051,0.138,0.286
Eugenol,0.043,0.0,0.0,0.693
Safranal,0.008,0.0,0.281,0.341
Vanillin,0.002,0.0,0.479,0.043
Thymoquinone,0.026,0.052,0.475,0.153
Ajmaline,0.953,0.582,0.419,0.011
Rutaecarpine,0.0,0.009,0.822,0.018
Naringenin,0.032,0.014,0.678,0.002
Pelargonidin,0.105,0.001,0.999,0.0
Carnosic acid,0.02,0.044,0.365,0.413
Phloretin,0.036,0.019,0.757,0.019
Formononetin,0.53,0.023,0.93,0.015
Catechol,0.019,0.0,0.472,0.023
Sinapic acid,0.0,0.0,0.982,0.033
Emodin,0.004,0.319,0.959,0.005
Galantamine,0.039,0.023,0.104,0.428
Vincristine,0.0,0.0,0.0,0.0
Vinblastine,0.827,0.593,0.323,0.019
Podophyllotoxin,0.076,0.001,0.001,0.88
Physostigmine,0.892,0.011,0.133,0.169
Lapachol,0.036,0.002,0.988,0.024
Tylophorine,0.005,0.012,0.005,0.966
Esculetin,0.911,0.049,0.89,0.038
Betulinic acid,0.189,0.361,0.437,0.081
Lupeol,0.139,0.49,0.507,0.174
Xanthohumol,0.951,0.005,0.92,0.005
Morin,0.01,0.0,0.997,0.003
Fisetin,0.032,0.014,0.678,0.002
Isorhamnetin,0.073,0.034,0.815,0.01
Syringic acid,0.009,0.0,1.0,0.0
Acteoside,0.991,0.074,0.988,0.0
Isovitexin,0.093,0.03,0.551,0.002
Procyanidin B2,0.074,0.206,0.014,0.001
Delphinidin,0.006,0.007,0.015,0.643
Peonidin,0.138,0.152,0.008,0.321
