Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"APP","Amyloid Beta Precursor Protein","Protein Coding","P05067","63","GC21M025880","115.813903808594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP"
"APOE","Apolipoprotein E","Protein Coding","P02649","62","GC19P152697","87.4398574829102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"PSEN1","Presenilin 1","Protein Coding","P49768","66","GC14P073136","80.809814453125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSEN1"
"PSEN2","Presenilin 2","Protein Coding","P49810","63","GC01P226870","61.9205894470215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSEN2"
"MAPT","Microtubule Associated Protein Tau","Protein Coding","P10636","62","GC17P045894","61.3022537231445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPT"
"SORL1","Sortilin Related Receptor 1","Protein Coding","Q92673","58","GC11P121452","42.7916870117188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORL1"
"BACE1","Beta-Secretase 1","Protein Coding","P56817","60","GC11M117285","41.951545715332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE1"
"TREM2","Triggering Receptor Expressed On Myeloid Cells 2","Protein Coding","Q9NZC2","57","GC06M106680","39.5505638122559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREM2"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","P29474","62","GC07P165997","39.4057426452637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"ABCA7","ATP Binding Cassette Subfamily A Member 7","Protein Coding","Q8IZY2","58","GC19P151373","39.0767669677734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA7"
"PLAU","Plasminogen Activator, Urokinase","Protein Coding","P00749","64","GC10P073909","35.4451103210449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAU"
"HFE","Homeostatic Iron Regulator","Protein Coding","Q30201","58","GC06P026087","35.3110275268555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE"
"SNCA","Synuclein Alpha","Protein Coding","P37840","65","GC04M089724","34.730712890625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCA"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","P12821","64","GC17P063477","34.7246246337891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"PRNP","Prion Protein (Kanno Blood Group)","Protein Coding","F7VJQ1","61","GC20P004686","33.9796943664551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRNP"
"A2M","Alpha-2-Macroglobulin","Protein Coding","P01023","59","GC12M009067","33.763671875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2M"
"GRN","Granulin Precursor","Protein Coding","P28799","61","GC17P044345","33.6100959777832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRN"
"MPO","Myeloperoxidase","Protein Coding","P05164","65","GC17M058269","32.3525772094727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO"
"TARDBP","TAR DNA Binding Protein","Protein Coding","Q13148","60","GC01P075344","31.2109184265137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARDBP"
"CSF1R","Colony Stimulating Factor 1 Receptor","Protein Coding","P07333","65","GC05M150053","29.6797180175781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1R"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","65","GC06P181893","29.4845066070557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"SQSTM1","Sequestosome 1","Protein Coding","Q13501","62","GC05P179806","29.1730117797852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SQSTM1"
"MT-ND1","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1","Protein Coding","P03886","47","GCMTP003309","29.1448268890381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND1"
"VCP","Valosin Containing Protein","Protein Coding","P55072","62","GC09M035732","28.7516822814941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCP"
"TOMM40","Translocase Of Outer Mitochondrial Membrane 40","Protein Coding","O96008","52","GC19P044890","28.2947463989258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM40"
"BLMH","Bleomycin Hydrolase","Protein Coding","Q13867","57","GC17M030248","27.803050994873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLMH"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","31","GC11P027466","27.0182247161865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"FUS","FUS RNA Binding Protein","Protein Coding","P35637","58","GC16P031180","26.3074588775635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUS"
"CHMP2B","Charged Multivesicular Body Protein 2B","Protein Coding","Q9UQN3","56","GC03P087227","26.1302051544189","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP2B"
"GFAP","Glial Fibrillary Acidic Protein","Protein Coding","P14136","61","GC17M097317","25.4910144805908","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFAP"
"HFE-AS1","HFE Antisense RNA 1","RNA Gene","","15","GC06M106104","25.1436710357666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE-AS1"
"UCHL1","Ubiquitin C-Terminal Hydrolase L1","Protein Coding","P09936","65","GC04P041256","24.3378601074219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCHL1"
"ITM2B","Integral Membrane Protein 2B","Protein Coding","Q9Y287","57","GC13P048233","24.2176361083984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITM2B"
"LRRK2","Leucine Rich Repeat Kinase 2","Protein Coding","Q5S007","62","GC12P040196","23.7447490692139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRK2"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","O60260","62","GC06M161348","23.2913570404053","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"MIR146A","MicroRNA 146a","RNA Gene","","31","GC05P160485","23.2772388458252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"BCYRN1","Brain Cytoplasmic RNA 1","RNA Gene","","28","GC02P047253","23.2615985870361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCYRN1"
"NPC1","NPC Intracellular Cholesterol Transporter 1","Protein Coding","O15118","62","GC18M023506","23.0635757446289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC1"
"ADAM10","ADAM Metallopeptidase Domain 10","Protein Coding","O14672","67","GC15M058588","22.9848136901855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM10"
"MIR107","MicroRNA 107","RNA Gene","","28","GC10M089604","22.8758716583252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR107"
"PLA2G6","Phospholipase A2 Group VI","Protein Coding","O60733","61","GC22M087757","22.3350524902344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G6"
"SLC6A3","Solute Carrier Family 6 Member 3","Protein Coding","Q01959","63","GC05M001392","22.1293106079102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A3"
"TUBA4A","Tubulin Alpha 4a","Protein Coding","P68366","60","GC02M219249","21.9300956726074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA4A"
"MIR26B","MicroRNA 26b","RNA Gene","","31","GC02P218402","21.8812980651855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR26B"
"MIR29B1","MicroRNA 29b-1","RNA Gene","","28","GC07M130877","21.8670120239258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29B1"
"PINK1","PTEN Induced Kinase 1","Protein Coding","Q9BXM7","60","GC01P076060","21.798900604248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PINK1"
